dataset,model,pair_id,layer,axis,role,ground_truth,projection
COCO-2017-val,Molmo2-ER,coco_0000_445658,21,distance,target-reference,-0.0017893494948880706,-3.0508460998535156
COCO-2017-val,Molmo2-ER,coco_0000_445658,21,horizontal,target-reference,-1.8809815518001969,-20.425018310546875
COCO-2017-val,Molmo2-ER,coco_0000_445658,21,vertical,target-reference,0.19668861186896458,3.329703569412232
COCO-2017-val,Molmo2-ER,coco_0001_436883,21,distance,target-reference,-0.005559965526984699,3.879836678504944
COCO-2017-val,Molmo2-ER,coco_0001_436883,21,horizontal,target-reference,1.8819044377866887,4.116877436637878
COCO-2017-val,Molmo2-ER,coco_0001_436883,21,vertical,target-reference,-0.3061769123939788,-4.096387147903442
COCO-2017-val,Molmo2-ER,coco_0002_479448,21,distance,target-reference,-0.4724241781293836,-5.9945409297943115
COCO-2017-val,Molmo2-ER,coco_0002_479448,21,horizontal,target-reference,-1.7969239513445698,-14.22948169708252
COCO-2017-val,Molmo2-ER,coco_0002_479448,21,vertical,target-reference,-1.2413221709485627,-9.894610404968262
COCO-2017-val,Molmo2-ER,coco_0003_438226,21,distance,target-reference,0.49577977484304336,4.689450979232788
COCO-2017-val,Molmo2-ER,coco_0003_438226,21,horizontal,target-reference,-1.7220708528679842,-14.937961578369139
COCO-2017-val,Molmo2-ER,coco_0003_438226,21,vertical,target-reference,0.44241319870865864,8.366330444812775
COCO-2017-val,Molmo2-ER,coco_0004_416534,21,distance,target-reference,-0.0638797857729132,0.03328299522399902
COCO-2017-val,Molmo2-ER,coco_0004_416534,21,horizontal,target-reference,-1.7189890289291072,-7.608445405960083
COCO-2017-val,Molmo2-ER,coco_0004_416534,21,vertical,target-reference,-0.7929758110886204,-10.332230567932129
COCO-2017-val,Molmo2-ER,coco_0005_139099,21,distance,target-reference,-0.8940102876648313,-2.3795175552368164
COCO-2017-val,Molmo2-ER,coco_0005_139099,21,horizontal,target-reference,1.7765840671656685,7.8467424511909485
COCO-2017-val,Molmo2-ER,coco_0005_139099,21,vertical,target-reference,-1.1539463297960897,-13.083755493164062
COCO-2017-val,Molmo2-ER,coco_0006_568195,21,distance,target-reference,-0.7596460753063585,-8.198804676532745
COCO-2017-val,Molmo2-ER,coco_0006_568195,21,horizontal,target-reference,-0.8773084159382623,-2.7548104524612427
COCO-2017-val,Molmo2-ER,coco_0006_568195,21,vertical,target-reference,-1.7511147339199666,-19.745668411254883
COCO-2017-val,Molmo2-ER,coco_0007_467176,21,distance,target-reference,-0.4010870368540977,-2.178439140319824
COCO-2017-val,Molmo2-ER,coco_0007_467176,21,horizontal,target-reference,-1.8627969471307748,-12.301744937896729
COCO-2017-val,Molmo2-ER,coco_0007_467176,21,vertical,target-reference,-0.47843209100691936,-3.9468765258789062
COCO-2017-val,Molmo2-ER,coco_0008_289393,21,distance,target-reference,-0.8217779910871119,-3.7916001081466675
COCO-2017-val,Molmo2-ER,coco_0008_289393,21,horizontal,target-reference,-1.795233845087759,-10.959150791168213
COCO-2017-val,Molmo2-ER,coco_0008_289393,21,vertical,target-reference,-1.0438797901629933,2.5963375568389893
COCO-2017-val,Molmo2-ER,coco_0009_128148,21,distance,target-reference,-0.5757370318479328,-5.514898657798767
COCO-2017-val,Molmo2-ER,coco_0009_128148,21,horizontal,target-reference,-1.8900526577665495,-15.634722232818604
COCO-2017-val,Molmo2-ER,coco_0009_128148,21,vertical,target-reference,-0.1682594407355069,-1.952754855155945
COCO-2017-val,Molmo2-ER,coco_0010_52996,21,distance,target-reference,0.3981010430642405,0.14519262313842773
COCO-2017-val,Molmo2-ER,coco_0010_52996,21,horizontal,target-reference,1.8826902448510738,0.9209879636764526
COCO-2017-val,Molmo2-ER,coco_0010_52996,21,vertical,target-reference,-0.0886986951909266,7.564620018005371
COCO-2017-val,Molmo2-ER,coco_0011_3661,21,distance,target-reference,0.015427924956975092,0.08394497632980358
COCO-2017-val,Molmo2-ER,coco_0011_3661,21,horizontal,target-reference,1.7321660034863808,11.588927030563354
COCO-2017-val,Molmo2-ER,coco_0011_3661,21,vertical,target-reference,-0.3788793699691351,-3.166195869445801
COCO-2017-val,Molmo2-ER,coco_0012_388903,21,distance,target-reference,-0.4010956746544516,-1.561058759689331
COCO-2017-val,Molmo2-ER,coco_0012_388903,21,horizontal,target-reference,1.7395725066555194,11.213385820388794
COCO-2017-val,Molmo2-ER,coco_0012_388903,21,vertical,target-reference,-0.6972720920424562,-6.286507278680801
COCO-2017-val,Molmo2-ER,coco_0013_91779,21,distance,target-reference,0.38583878279305056,4.2670276165008545
COCO-2017-val,Molmo2-ER,coco_0013_91779,21,horizontal,target-reference,-1.6917498128029487,-8.669814348220825
COCO-2017-val,Molmo2-ER,coco_0013_91779,21,vertical,target-reference,1.2052615722890363,4.680251121520996
COCO-2017-val,Molmo2-ER,coco_0014_253452,21,distance,target-reference,0.6125204240782529,6.147039413452148
COCO-2017-val,Molmo2-ER,coco_0014_253452,21,horizontal,target-reference,1.657171893835212,12.5562105178833
COCO-2017-val,Molmo2-ER,coco_0014_253452,21,vertical,target-reference,0.7356621673708048,1.0184188485145569
COCO-2017-val,Molmo2-ER,coco_0015_378873,21,distance,target-reference,0.7349000700550714,-0.2132076621055603
COCO-2017-val,Molmo2-ER,coco_0015_378873,21,horizontal,target-reference,-1.6095804797787072,-12.62946367263794
COCO-2017-val,Molmo2-ER,coco_0015_378873,21,vertical,target-reference,1.3013097466025825,7.894492983818054
COCO-2017-val,Molmo2-ER,coco_0016_522007,21,distance,target-reference,-0.1059815736984408,3.908444881439209
COCO-2017-val,Molmo2-ER,coco_0016_522007,21,horizontal,target-reference,1.7813687401630323,10.397047519683838
COCO-2017-val,Molmo2-ER,coco_0016_522007,21,vertical,target-reference,0.5634598506714159,3.380071759223938
COCO-2017-val,Molmo2-ER,coco_0017_445792,21,distance,target-reference,-0.5409722822206384,-3.9920289367437363
COCO-2017-val,Molmo2-ER,coco_0017_445792,21,horizontal,target-reference,-1.8024075326414464,-13.427011966705322
COCO-2017-val,Molmo2-ER,coco_0017_445792,21,vertical,target-reference,0.7937630919168249,-0.7445294857025144
COCO-2017-val,Molmo2-ER,coco_0018_429598,21,distance,target-reference,0.11968013886586332,4.64685320854187
COCO-2017-val,Molmo2-ER,coco_0018_429598,21,horizontal,target-reference,-1.652448420343358,-17.036579608917236
COCO-2017-val,Molmo2-ER,coco_0018_429598,21,vertical,target-reference,0.5822516754036116,4.9235267639160165
COCO-2017-val,Molmo2-ER,coco_0019_119233,21,distance,target-reference,0.5805766948424211,3.33201801776886
COCO-2017-val,Molmo2-ER,coco_0019_119233,21,horizontal,target-reference,-1.5903047692524352,-17.376752853393555
COCO-2017-val,Molmo2-ER,coco_0019_119233,21,vertical,target-reference,1.0791559053253486,13.510603904724121
COCO-2017-val,Molmo2-ER,coco_0020_29596,21,distance,target-reference,0.3730138734215416,2.9695295095443726
COCO-2017-val,Molmo2-ER,coco_0020_29596,21,horizontal,target-reference,1.7168179209508576,11.022523641586304
COCO-2017-val,Molmo2-ER,coco_0020_29596,21,vertical,target-reference,0.19549585155725457,3.7654619216918945
COCO-2017-val,Molmo2-ER,coco_0021_397303,21,distance,target-reference,0.2479969809868134,4.12524938583374
