dataset,model,pair_id,layer,axis,role,ground_truth,projection
COCO-2017-val,Molmo2-ER,coco_0000_445658,21,horizontal,reference,0.947123686186186,11.986871719360352
COCO-2017-val,Molmo2-ER,coco_0000_445658,21,horizontal,target,-0.933857865614011,-8.438146591186523
COCO-2017-val,Molmo2-ER,coco_0001_436883,21,horizontal,reference,-0.9701041666666668,-5.022910118103027
COCO-2017-val,Molmo2-ER,coco_0001_436883,21,horizontal,target,0.911800271120022,-0.9060326814651488
COCO-2017-val,Molmo2-ER,coco_0002_479448,21,horizontal,reference,0.8886213058419243,7.36688232421875
COCO-2017-val,Molmo2-ER,coco_0002_479448,21,horizontal,target,-0.9083026455026456,-6.8625993728637695
COCO-2017-val,Molmo2-ER,coco_0003_438226,21,horizontal,reference,0.7853748860528715,9.244669914245604
COCO-2017-val,Molmo2-ER,coco_0003_438226,21,horizontal,target,-0.9366959668151128,-5.693291664123535
COCO-2017-val,Molmo2-ER,coco_0004_416534,21,horizontal,reference,0.8250904977375568,2.95373272895813
COCO-2017-val,Molmo2-ER,coco_0004_416534,21,horizontal,target,-0.8938985311915504,-4.654712677001953
COCO-2017-val,Molmo2-ER,coco_0005_139099,21,horizontal,reference,-0.9617116885784718,-7.006994247436523
COCO-2017-val,Molmo2-ER,coco_0005_139099,21,horizontal,target,0.8148723785871967,0.839748203754425
COCO-2017-val,Molmo2-ER,coco_0006_568195,21,horizontal,reference,0.1832709331093192,-1.0746082067489624
COCO-2017-val,Molmo2-ER,coco_0006_568195,21,horizontal,target,-0.6940374828289431,-3.829418659210205
COCO-2017-val,Molmo2-ER,coco_0007_467176,21,horizontal,reference,0.906970675944334,6.508438587188721
COCO-2017-val,Molmo2-ER,coco_0007_467176,21,horizontal,target,-0.9558262711864408,-5.793306350708008
COCO-2017-val,Molmo2-ER,coco_0008_289393,21,horizontal,reference,0.8233911042195745,3.9800467491149902
COCO-2017-val,Molmo2-ER,coco_0008_289393,21,horizontal,target,-0.9718427408681845,-6.979104042053223
COCO-2017-val,Molmo2-ER,coco_0009_128148,21,horizontal,reference,0.9543278264954584,7.621891498565674
COCO-2017-val,Molmo2-ER,coco_0009_128148,21,horizontal,target,-0.9357248312710912,-8.01283073425293
COCO-2017-val,Molmo2-ER,coco_0010_52996,21,horizontal,reference,-0.9541258273930754,1.4077764749526978
COCO-2017-val,Molmo2-ER,coco_0010_52996,21,horizontal,target,0.9285644174579984,2.3287644386291504
COCO-2017-val,Molmo2-ER,coco_0011_3661,21,horizontal,reference,-0.8539368450082736,-7.600009441375732
COCO-2017-val,Molmo2-ER,coco_0011_3661,21,horizontal,target,0.8782291584781072,3.988917589187622
COCO-2017-val,Molmo2-ER,coco_0012_388903,21,horizontal,reference,-0.805913591926837,-7.50318717956543
COCO-2017-val,Molmo2-ER,coco_0012_388903,21,horizontal,target,0.9336589147286825,3.710198640823364
COCO-2017-val,Molmo2-ER,coco_0013_91779,21,horizontal,reference,0.9010897579560732,7.278752326965332
COCO-2017-val,Molmo2-ER,coco_0013_91779,21,horizontal,target,-0.7906600548468756,-1.3910620212554932
COCO-2017-val,Molmo2-ER,coco_0014_253452,21,horizontal,reference,-0.963061299081036,-10.721435546875
COCO-2017-val,Molmo2-ER,coco_0014_253452,21,horizontal,target,0.6941105947541761,1.8347749710083008
COCO-2017-val,Molmo2-ER,coco_0015_378873,21,horizontal,reference,0.699003272155601,6.947844505310059
COCO-2017-val,Molmo2-ER,coco_0015_378873,21,horizontal,target,-0.9105772076231062,-5.681619167327881
